213 33 7:2 / /snap/core20/2669 ro,nodev,relatime shared:290 - squashfs /dev/loop2 ro,errors=continue,threads=single
218 33 7:3 / /snap/core22/2133 ro,nodev,relatime shared:295 - squashfs /dev/loop3 ro,errors=continue,threads=single
224 33 7:4 / /snap/core22/2139 ro,nodev,relatime shared:300 - squashfs /dev/loop4 ro,errors=continue,threads=single
229 33 7:5 / /snap/desktop-security-center/87 ro,nodev,relatime shared:305 - squashfs /dev/loop5 ro,errors=continue,threads=single
237 33 7:6 / /snap/desktop-security-center/99 ro,nodev,relatime shared:310 - squashfs /dev/loop6 ro,errors=continue,threads=single
311 33 7:7 / /snap/firefox/7084 ro,nodev,relatime shared:315 - squashfs /dev/loop7 ro,errors=continue,threads=single
316 33 7:9 / /snap/firmware-updater/167 ro,nodev,relatime shared:320 - squashfs /dev/loop9 ro,errors=continue,threads=single
321 33 7:8 / /snap/firefox/7177 ro,nodev,relatime shared:325 - squashfs /dev/loop8 ro,errors=continue,threads=single
326 33 7:10 / /snap/firmware-updater/210 ro,nodev,relatime shared:330 - squashfs /dev/loop10 ro,errors=continue,threads=single
331 33 7:11 / /snap/gnome-3-38-2004/143 ro,nodev,relatime shared:335 - squashfs /dev/loop11 ro,errors=continue,threads=single
336 33 7:12 / /snap/gnome-42-2204/202 ro,nodev,relatime shared:340 - squashfs /dev/loop12 ro,errors=continue,threads=single
341 33 7:13 / /snap/gnome-42-2204/226 ro,nodev,relatime shared:345 - squashfs /dev/loop13 ro,errors=continue,threads=single
384 33 7:14 / /snap/gtk-common-themes/1535 ro,nodev,relatime shared:350 - squashfs /dev/loop14 ro,errors=continue,threads=single
389 33 7:15 / /snap/icon-theme-breeze/5 ro,nodev,relatime shared:355 - squashfs /dev/loop15 ro,errors=continue,threads=single
394 33 7:16 / /snap/prompting-client/104 ro,nodev,relatime shared:360 - squashfs /dev/loop16 ro,errors=continue,threads=single
399 33 7:17 / /snap/prompting-client/87 ro,nodev,relatime shared:365 - squashfs /dev/loop17 ro,errors=continue,threads=single
404 33 7:18 / /snap/slack/216 ro,nodev,relatime shared:370 - squashfs /dev/loop18 ro,errors=continue,threads=single
409 33 7:19 / /snap/snap-store/1270 ro,nodev,relatime shared:375 - squashfs /dev/loop19 ro,errors=continue,threads=single
414 33 7:20 / /snap/slack/218 ro,nodev,relatime shared:380 - squashfs /dev/loop20 ro,errors=continue,threads=single
419 33 7:21 / /snap/snap-store/1300 ro,nodev,relatime shared:385 - squashfs /dev/loop21 ro,errors=continue,threads=single
424 33 7:22 / /snap/snapd/25202 ro,nodev,relatime shared:390 - squashfs /dev/loop22 ro,errors=continue,threads=single
429 33 7:23 / /snap/snapd/25577 ro,nodev,relatime shared:395 - squashfs /dev/loop23 ro,errors=continue,threads=single
434 33 7:24 / /snap/snapd-desktop-integration/253 ro,nodev,relatime shared:400 - squashfs /dev/loop24 ro,errors=continue,threads=single
439 33 7:25 / /snap/snapd-desktop-integration/315 ro,nodev,relatime shared:405 - squashfs /dev/loop25 ro,errors=continue,threads=single
444 53 0:70 / /proc/sys/fs/binfmt_misc rw,nosuid,nodev,noexec,relatime shared:410 - binfmt_misc binfmt_misc rw
513 31 0:27 /snapd/ns /run/snapd/ns rw,nosuid,nodev,noexec,relatime - tmpfs tmpfs rw,size=19092632k,mode=755,inode64
2307 513 0:4 mnt:[4026533694] /run/snapd/ns/snapd-desktop-integration.mnt rw - nsfs nsfs rw
2308 513 0:4 mnt:[4026533695] /run/snapd/ns/prompting-client.mnt rw - nsfs nsfs rw
2311 31 0:102 / /run/user/1000 rw,nosuid,nodev,relatime shared:1474 - tmpfs tmpfs rw,size=19092628k,nr_inodes=4773157,mode=700,uid=1000,gid=1000,inode64
2463 2311 0:103 / /run/user/1000/doc rw,nosuid,nodev,relatime shared:1551 - fuse.portal portal rw,user_id=1000,group_id=1000
3657 2311 0:107 / /run/user/1000/gvfs rw,nosuid,nodev,relatime shared:1591 - fuse.gvfsd-fuse gvfsd-fuse rw,user_id=1000,group_id=1000
3226 513 0:4 mnt:[4026533698] /run/snapd/ns/firefox.mnt rw - nsfs nsfs rw
